day,min,max
Today,71°,52°
Sun 01,71°,57°
Mon 02,68°,54°
Tue 03,64°,58°
Wed 04,68°,58°
Thu 05,68°,55°
Fri 06,67°,51°
Sat 07,66°,52°
Sun 08,65°,53°
Mon 09,65°,52°
Tue 10,65°,53°
Wed 11,64°,52°
Thu 12,65°,52°
Fri 13,65°,53°
Sat 14,65°,53°
